Inventory ID,Card Kind,Name,TCG Type,Stage / Trainer Subtype,HP,Quantity,Special / Rule Box,Visible Move / Effect 1,Visible Move / Effect 2,ID Confidence,Notes,Water/Psychic Deck Pool,Collector No.,Expansion,Set ID,Collector Source,Evolves From,Ability / Rule,Attack 1 Name,Attack 1 Cost,Attack 1 Damage,Attack 1 Effect,Attack 2 Name,Attack 2 Cost,Attack 2 Damage,Attack 2 Effect,Weakness,Resistance,Retreat Cost,Regulation Mark,Trainer / Other Text,Finish / Variant,Language,English Name,Catalog Provider,Catalog Set ID,Catalog Card ID,Printing Variant,Card Back Design,Printing Finish
70,Pokémon,Litwick,Psychic,Basic,70,1,,Will-O-Wisp — 20,,High,,Yes,036/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/36/,,,Will-O-Wisp,P,20,,,,,,Darkness ×2,Fighting −30,1,J,,,,,,,,,,
71,Pokémon,Brionne,Water,Stage 1,90,1,,Hyper Voice — 40,,High,,Yes,019/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/19/,Popplio,,Hyper Voice,W,40,,,,,,Lightning ×2,,2,J,,,,,,,,,,
72,Pokémon,Mankey,Fighting,Basic,50,1,,Low Kick — 20,,High,,,042/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/42/,,,Low Kick,C,20,,,,,,Psychic ×2,,1,J,,,,,,,,,,
73,Pokémon,Bastiodon,Metal,Stage 2,160,1,,Ancient Bulwark (Ability),Hammer In — 160,High,,,062/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/62/,Shieldon,"Ancient Bulwark — As long as this Pokémon is on your Bench, prevent all damage done to each of your Pokémon by attacks from your opponent's Pokémon that have 2 or less Energy attached.",Hammer In,M M C,160,,,,,,Fire ×2,Grass −30,4,J,,,,,,,,,,
74,Pokémon,Centiskorch,Fire,Stage 1,140,1,,Controlled Burn,Heat Tackle — 160,High,,,010/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/10/,Sizzlipede,,Controlled Burn,R,,Discard the top 2 cards of your opponent's deck.,Heat Tackle,R C C C,160,This Pokémon also does 30 damage to itself.,Water ×2,,3,J,,,,,,,,,,
75,Pokémon,Shieldon,Metal,Stage 1,100,1,,Smithereen Smash — 50,,High,,,061/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/61/,Antique Armor Fossil,,Smithereen Smash,M C,50,Discard an Energy from your opponent's Active Pokémon.,,,,,Fire ×2,Grass −30,3,J,,,,,,,,,,
76,Pokémon,Toucannon,Colorless,Stage 2,150,1,,Aerial Draw (Ability),Feather Rondo — 60+,High,,,068/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/68/,Trumbeak,"Aerial Draw — Once during your turn, you may use this Ability. Draw a card.",Feather Rondo,C,60+,This attack does 20 more damage for each Benched Pokémon (both yours and your opponent's).,,,,,Lightning ×2,Fighting −30,2,J,,,,,,,,,,
77,Trainer,Gladion's Final Battle,,Supporter,,1,,Card effect,,High,,Yes,077/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/77/,,,,,,,,,,,,,,J,"You can use this card only when it is the last card in your hand. During this turn, attacks used by your Pokémon that don't have a Rule Box do 80 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance). (Pokémon ex, Pokémon V, etc. have Rule Boxes.)",,,,,,,,,
78,Pokémon,Vikavolt,Lightning,Stage 2,160,1,,Quick Dive,Giga Railgun — 260,High,,,026/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/26/,Charjabug,,Quick Dive,L,50,This attack does 50 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Giga Railgun,L L,260,"If this Pokémon has no Voltaic Energy attached, this attack does nothing.",Fighting ×2,,1,J,,,,,,,,,,
79,Pokémon,Binacle,Fighting,Basic,80,1,,Double Draw,Scratch — 30,High,English MEP promo released with the Pitch Black 3-Pack Blister.,,087,MEP Black Star Promos,MEP,https://bulbapedia.bulbagarden.net/wiki/Binacle_(MEP_Promo_87),,,Double Draw,F,,Draw 2 cards.,Scratch,F F,30,,Grass ×2,,2,J,,MEP promo,,,,,,,,Cosmos Holofoil
80,Trainer,Clavell,,Supporter,,1,,Card effect,,High,Play! Pokémon Prize Pack Series Four printing; right-side Play! Pokémon stamp visible.,Yes,177/193,Paldea Evolved,SV02,https://bulbapedia.bulbagarden.net/wiki/Play!_Pok%C3%A9mon_Prize_Pack_Series_Four_(TCG),,,,,,,,,,,,,,G,"Search your deck for up to 3 Basic Pokémon with 120 HP or less, reveal them, and put them into your hand. Then, shuffle your deck.",,,,,,,play-pokemon-prize-pack-series-four-right-stamp,,Cosmos Holofoil
81,Trainer,Capturing Aroma,,Item,,1,,Card effect,,High,Play! Pokémon Prize Pack Series Four printing; right-side Play! Pokémon stamp visible. Foil status not assessed.,Yes,153/195,Silver Tempest,SWSH12,https://bulbapedia.bulbagarden.net/wiki/Play!_Pok%C3%A9mon_Prize_Pack_Series_Four_(TCG),,,,,,,,,,,,,,F,"Flip a coin. If heads, search your deck for an Evolution Pokémon, reveal it, and put it into your hand. If tails, search your deck for a Basic Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.",,,,,,,play-pokemon-prize-pack-series-four-right-stamp,,
82,Pokémon,Revavroom,Metal,Stage 1,140,1,,Rumbling Engine (Ability),Knock Away — 90+,High,Play! Pokémon Prize Pack Series Four printing; right-side Play! Pokémon stamp visible.,,142/198,Scarlet & Violet,SV01,https://bulbapedia.bulbagarden.net/wiki/Play!_Pok%C3%A9mon_Prize_Pack_Series_Four_(TCG),Varoom,"Rumbling Engine — You must discard an Energy card from your hand in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand.",Knock Away,M C C C,90+,"Flip a coin. If heads, this attack does 90 more damage.",,,,,Fire ×2,Grass −30,2,G,,,,,,,,play-pokemon-prize-pack-series-four-right-stamp,,non-holo
83,Trainer,Arven,,Supporter,,1,,Card effect,,High,Play! Pokémon Prize Pack Series Four printing; right-side Play! Pokémon stamp visible. Foil status not assessed.,Yes,166/198,Scarlet & Violet,SV01,https://bulbapedia.bulbagarden.net/wiki/Play!_Pok%C3%A9mon_Prize_Pack_Series_Four_(TCG),,,,,,,,,,,,,,G,"Search your deck for an Item card and a Pokémon Tool card, reveal them, and put them into your hand. Then, shuffle your deck.",,,,,,,play-pokemon-prize-pack-series-four-right-stamp,,
84,Trainer,Artazon,,Stadium,,1,,Card effect,,High,Play! Pokémon Prize Pack Series Four printing; right-side Play! Pokémon stamp visible. Foil status not assessed.,Yes,171/193,Paldea Evolved,SV02,https://bulbapedia.bulbagarden.net/wiki/Play!_Pok%C3%A9mon_Prize_Pack_Series_Four_(TCG),,,,,,,,,,,,,,G,"Once during each player's turn, that player may search their deck for a Basic Pokémon that doesn't have a Rule Box and put it onto their Bench. Then, that player shuffles their deck. (Pokémon ex, Pokémon V, etc. have Rule Boxes.)",,,,,,,play-pokemon-prize-pack-series-four-right-stamp,,
85,Trainer,Core Memory,,Pokémon Tool,,1,,Geobuster — 350,,High,Play! Pokémon Prize Pack Series Nine printing; right-side Play! Pokémon stamp visible.,Yes,070/088,Perfect Order,ME03,https://bulbapedia.bulbagarden.net/wiki/Play!_Pok%C3%A9mon_Prize_Pack_Series_Nine_(TCG),,,Geobuster,F F F F,350,Discard all Energy from this Pokémon.,,,,,,,,J,The Mega Zygarde ex this card is attached to can use the attack on this card. (You still need the necessary Energy to use this attack.),,,,,,,play-pokemon-prize-pack-series-nine-right-stamp,,Cosmos Holofoil
86,Pokémon,Zekrom ex,Lightning,Basic,230,1,Pokémon ex,Slash — 50,Voltage Burst — 130+,High,Play! Pokémon Prize Pack Series Nine right-stamp printing; a distinct left-stamp Prize Pack variant also exists.,,034/086,Black Bolt,BLK,https://bulbapedia.bulbagarden.net/wiki/Play!_Pok%C3%A9mon_Prize_Pack_Series_Nine_(TCG),,"Pokémon ex rule — When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.",Slash,C C,50,,Voltage Burst,L L C,130+,This attack does 50 more damage for each Prize card your opponent has taken. This Pokémon also does 30 damage to itself.,Fighting ×2,,2,I,,,,,,,,play-pokemon-prize-pack-series-nine-right-stamp,,Pokémon ex foil
87,Pokémon,Moltres,Fire,Basic,120,1,,Fighting Wings — 20+,,High,Play! Pokémon Prize Pack Series Nine printing; right-side stamp visible; distinct from the regular 014/094 printing already cataloged. Foil status not assessed.,,014/094,Phantasmal Flames,ME02,https://bulbapedia.bulbagarden.net/wiki/Play!_Pok%C3%A9mon_Prize_Pack_Series_Nine_(TCG),,,Fighting Wings,R,20+,"If your opponent's Active Pokémon is a Pokémon ex, this attack does 90 more damage.",,,,,Lightning ×2,,1,J,,,,,,,,play-pokemon-prize-pack-series-nine-right-stamp,,
88,Trainer,Hilda,,Supporter,,1,,Card effect,,High,Play! Pokémon Prize Pack Series Nine printing; right-side Play! Pokémon stamp visible. Foil status not assessed.,Yes,084/086,White Flare,WHT,https://bulbapedia.bulbagarden.net/wiki/Play!_Pok%C3%A9mon_Prize_Pack_Series_Nine_(TCG),,,,,,,,,,,,,,I,"Search your deck for an Evolution Pokémon and an Energy card, reveal them, and put them into your hand. Then, shuffle your deck.",,,,,,,play-pokemon-prize-pack-series-nine-right-stamp,,
89,Trainer,Battle Cage,,Stadium,,1,,Card effect,,High,Play! Pokémon Prize Pack Series Nine printing; right-side Play! Pokémon stamp visible.,Yes,085/094,Phantasmal Flames,ME02,https://bulbapedia.bulbagarden.net/wiki/Play!_Pok%C3%A9mon_Prize_Pack_Series_Nine_(TCG),,,,,,,,,,,,,,J,Prevent all damage counters from being placed on Benched Pokémon (both yours and your opponent's) by effects of attacks and Abilities from the opponent's Pokémon. (Damage from attacks is still taken.),,,,,,,play-pokemon-prize-pack-series-nine-right-stamp,,non-holo
